symbol,token,,,,,
SRM-EQ,23402,,,,,
AIIL-EQ,23553,,,,,
TBOTEK-EQ,23740,,,,,
NELCO-EQ,2388,,,,,
SANDHAR-EQ,2397,,,,,
NILKAMAL-EQ,2421,,,,,
RELAXO-EQ,24225,,,,,
EMCURE-EQ,24398,,,,,
MIDHANI-EQ,2463,,,,,
OILCOUNTUB-EQ,2472,,,,,
ORIENTTECH-EQ,24961,,,,,
ADANIENT-EQ,25,,,,,
BROOKS-EQ,25136,,,,,
DSSL-EQ,25690,,,,,
VAL30IETF-EQ,25851,,,,,
GROWWGOLD-EQ,25872,,,,,
LLOYDSENT-EQ,25807,,,,,
WAAREEENER-EQ,25907,,,,,
DBEIL-EQ,25892,,,,,
AFCONS-EQ,25977,,,,,
MTARTECH-EQ,2709,,,,,
KMEW-EQ,27084,,,,,
EGOLD-EQ,19933,,,,,
LUMAXIND-EQ,2018,,,,,
COALINDIA-EQ,20374,,,,,
IOLCP-EQ,20413,,,,,
CHENNPETRO-EQ,2049,,,,,
ASHIMASYN-EQ,206,,,,,
BHAGYANGR-EQ,20776,,,,,
MOIL-EQ,20830,,,,,
CDSL-EQ,21174,,,,,
LIQUIDCASE-EQ,21750,,,,,
SBILIFE-EQ,21808,,,,,
CAPACITE-EQ,21749,,,,,
MCL-EQ,22360,,,,,
MAXHEALTH-EQ,22377,,,,,
MOREPENLAB-EQ,2259,,,,,
LANCORHOL-EQ,23027,,,,,
JGCHEM-EQ,23056,,,,,
LIQUIDADD-EQ,23407,,,,,
SYMPHONY-EQ,24190,,,,,
VSTTILLERS-EQ,24292,,,,,
VRAJ-EQ,24321,,,,,
ASHIANA-EQ,24403,,,,,
KARMAENG-EQ,24385,,,,,
AVANTEL-EQ,24610,,,,,
FIRSTCRY-EQ,24814,,,,,
INVENTURE-EQ,24870,,,,,
LTF-EQ,24948,,,,,
RAYMONDLSL-EQ,25073,,,,,
BCLIND-EQ,2513,,,,,
OSWALAGRO-EQ,2514,,,,,
EBANKNIFTY-EQ,25258,,,,,
EUREKAFORB-EQ,25162,,,,,
KROSS-EQ,25252,,,,,
PGEL-EQ,25358,,,,,
WCIL-EQ,25403,,,,,
ESSARSHPNG-EQ,25634,,,,,
SRD-EQ,25737,,,,,
POLYMED-EQ,25718,,,,,
VINCOFE-EQ,25835,,,,,
LEMONTREE-EQ,2606,,,,,
PFIZER-EQ,2643,,,,,
SFL-EQ,19184,,,,,
TCIEXP-EQ,19223,,,,,
MOM50-EQ,19289,,,,,
SECMARK-EQ,19496,,,,,
UGARSUGAR-EQ,19578,,,,,
TASTYBITE-EQ,20092,,,,,
GREENPOWER-EQ,20110,,,,,
CANTABIL-EQ,20160,,,,,
ASHOKA-EQ,20182,,,,,
AKSHARCHEM-EQ,20178,,,,,
WABAG-EQ,20188,,,,,
ESILVER-EQ,20257,,,,,
JWL-EQ,20224,,,,,
IREDA-EQ,20261,,,,,
GANDHAR-EQ,20303,,,,,
WIPL-EQ,20481,,,,,
JINDWORLD-EQ,20642,,,,,
MUFTI-EQ,20878,,,,,
AZAD-EQ,20905,,,,,
KIRLOSENG-EQ,20936,,,,,
RKDL-EQ,20950,,,,,
KICL-EQ,21119,,,,,
ABCAPITAL-EQ,21614,,,,,
LASA-EQ,21713,,,,,
DAVANGERE-EQ,21794,,,,,
MODTHREAD-EQ,2241,,,,,
HDFCNIFBAN-EQ,22433,,,,,
UTIBANKETF-EQ,22440,,,,,
PARKHOTELS-EQ,22649,,,,,
HLEGLAS-EQ,2289,,,,,
EXICOM-EQ,22947,,,,,
CPSEETF-EQ,2328,,,,,
ASIANPAINT-EQ,236,,,,,
JNKINDIA-EQ,23621,,,,,
BSLGOLDETF-EQ,23804,,,,,
MID150CASE-EQ,24077,,,,,
PEL-EQ,2412,,,,,
PIIND-EQ,24184,,,,,
STANLEY-EQ,24226,,,,,
LIQUIDSHRI-EQ,24374,,,,,
EVINDIA-EQ,24461,,,,,
RPEL-EQ,24735,,,,,
MANCREDIT-EQ,24823,,,,,
MODEFENCE-EQ,24944,,,,,
WINDMACHIN-EQ,24969,,,,,
TREEHOUSE-EQ,25082,,,,,
PGHH-EQ,2535,,,,,
LICMFGOLD-EQ,25640,,,,,
MOMENTUM50-EQ,25606,,,,,
APLAPOLLO-EQ,25780,,,,,
KANANIIND-EQ,25786,,,,,
HYUNDAI-EQ,25844,,,,,
AMJLAND-EQ,2598,,,,,
3PLAND-EQ,2595,,,,,
IT-EQ,2627,,,,,
HEXATRADEX-EQ,27008,,,,,
TBZ-EQ,27037,,,,,
KPEL-EQ,27079,,,,,
SPECIALITY-EQ,27107,,,,,
RSWM-EQ,2794,,,,,
EASEMYTRIP-EQ,2792,,,,,
DAMCAPITAL-EQ,28662,,,,,
ONESOURCE-EQ,29224,,,,,
ITCHOTELS-EQ,29251,,,,,
NATCAPSUQ-EQ,29583,,,,,
AONETOTAL-EQ,29975,,,,,
EQUAL200-EQ,30121,,,,,
SAMMAANCAP-EQ,30125,,,,,
SOTL-EQ,3021,,,,,
ESSENTIA-EQ,30323,,,,,
BAJAJHLDNG-EQ,305,,,,,
SCHNEIDER-EQ,31234,,,,,
BARBEQUE-EQ,3127,,,,,
SUNDRMFAST-EQ,3345,,,,,
ADANIGREEN-EQ,3563,,,,,
THERMAX-EQ,3475,,,,,
TITAN-EQ,3506,,,,,
SOLARA-EQ,3672,,,,,
UNIVCABLES-EQ,3607,,,,,
BASF-EQ,368,,,,,
BATAINDIA-EQ,371,,,,,
JAYAGROGN-EQ,4041,,,,,
TATACOMM-EQ,3721,,,,,
HBSL-EQ,4116,,,,,
BHEL-EQ,438,,,,,
JAGSNPHARM-EQ,4410,,,,,
INDIANCARD-EQ,4422,,,,,
NEXT50IETF-EQ,4529,,,,,
ALKYLAMINE-EQ,4487,,,,,
DYNAMATECH-EQ,4525,,,,,
3MINDIA-EQ,474,,,,,
OSWALGREEN-EQ,471,,,,,
INDNIPPON-EQ,4747,,,,,
CONCOR-EQ,4749,,,,,
ICICIBANK-EQ,4963,,,,,
KPIGREEN-EQ,5108,,,,,
ETERNAL-EQ,5097,,,,,
BOMDYEING-EQ,513,,,,,
STYLAMIND-EQ,5186,,,,,
CARTRADE-EQ,5407,,,,,
BRITANNIA-EQ,547,,,,,
ARCHIES-EQ,5688,,,,,
CANFINHOME-EQ,583,,,,,
NIFTYETF-EQ,6353,,,,,
PAYTM-EQ,6705,,,,,
FOCUS-EQ,6836,,,,,
SHIVALIK-EQ,7016,,,,,
GANECOS-EQ,6944,,,,,
MICEL-EQ,7169,,,,,
JTLIND-EQ,7287,,,,,
METROBRAND-EQ,7242,,,,,
SETFNIFBK-EQ,7361,,,,,
SBIETFIT-EQ,740,,,,,
MANAKSTEEL-EQ,7463,,,,,
DATAPATTNS-EQ,7358,,,,,
SILVER-EQ,8003,,,,,
MALLCOM-EQ,7965,,,,,
CHALET-EQ,8546,,,,,
INDOBORAX-EQ,8614,,,,,
PRIVISCL-EQ,8825,,,,,
VERANDA-EQ,8890,,,,,
TIPSMUSIC-EQ,9117,,,,,
EIDPARRY-EQ,916,,,,,
EIHOTEL-EQ,919,,,,,
MEDICO-EQ,9667,,,,,
SPLPETRO-EQ,9617,,,,,
KPITTECH-EQ,9683,,,,,
DELHIVERY-EQ,9599,,,,,
EPL-EQ,981,,,,,
NV20BEES-EQ,9847,,,,,
NEXTMEDIA-EQ,9867,,,,,
AXITA-EQ,9902,,,,,
HAVELLS-EQ,9819,,,,,
EUROTEXIND-EQ,999,,,,,
CONFIPET-EQ,10238,,,,,
MANORAMA-EQ,10227,,,,,
RAMASTEEL-EQ,10300,,,,,
LUPIN-EQ,10440,,,,,
MOHEALTH-EQ,10508,,,,,
UTINIFTETF-EQ,10511,,,,,
UFLEX-EQ,1053,,,,,
MPSLTD-EQ,10578,,,,,
SADBHIN-EQ,10618,,,,,
SHREEPUSHK-EQ,10588,,,,,
ASAL-EQ,10634,,,,,
APTECHT-EQ,10755,,,,,
MOQLTYINAV-EQ,10830,,,,,
MOQUALITY-EQ,10822,,,,,
GABRIEL-EQ,1085,,,,,
OMAXAUTO-EQ,10922,,,,,
STCINDIA-EQ,10948,,,,,
SIRCA-EQ,11050,,,,,
AGRITECH-EQ,11072,,,,,
SHK-EQ,11212,,,,,
DREDGECORP-EQ,11271,,,,,
NSIL-EQ,11239,,,,,
JSL-EQ,11236,,,,,
TTKHLTCARE-EQ,11369,,,,,
TIPSFILMS-EQ,11374,,,,,
UMANGDAIRY-EQ,11387,,,,,
GICHSGFIN-EQ,1139,,,,,
NDTV-EQ,11427,,,,,
APARINDS-EQ,11491,,,,,
GIPCL-EQ,1145,,,,,
GLAXO-EQ,1153,,,,,
TRACXN-EQ,11582,,,,,
WESTLIFE-EQ,11580,,,,,
SSWL-EQ,11829,,,,,
MCLEODRUSS-EQ,11943,,,,,
IMPAL-EQ,12009,,,,,
SUZLON-EQ,12018,,,,,
SATINDLTD-EQ,12015,,,,,
BBTCL-EQ,12153,,,,,
INOXGREEN-EQ,12188,,,,,
CASTROLIND-EQ,1250,,,,,
TEAMLEASE-EQ,12716,,,,,
ABB-EQ,13,,,,,
UNIPARTS-EQ,13057,,,,,
ORIENTCER-EQ,13111,,,,,
CELEBRITY-EQ,13162,,,,,
SOLARINDS-EQ,13332,,,,,
SGL-EQ,13367,,,,,
BALPHARMA-EQ,13441,,,,,
PFOCUS-EQ,13496,,,,,
GMRAIRPORT-EQ,13528,,,,,
HIMATSEIDE-EQ,1360,,,,,
TALBROAUTO-EQ,13648,,,,,
FIEMIND-EQ,13710,,,,,
VISHWARAJ-EQ,13702,,,,,
HINDCOMPOS-EQ,1372,,,,,
GLOBALVECT-EQ,13735,,,,,
GTLINFRA-EQ,13745,,,,,
GREENPANEL-EQ,13810,,,,,
AARTIPHARM-EQ,13868,,,,,
LIQUID1-EQ,13950,,,,,
JASH-EQ,13982,,,,,
SANGHVIMOV-EQ,14058,,,,,
SAGCEM-EQ,14068,,,,,
PTL-EQ,14101,,,,,
INDIANB-EQ,14309,,,,,
SMSPHARMA-EQ,14329,,,,,
GODREJAGRO-EQ,144,,,,,
RAJTV-EQ,14403,,,,,
INSECTICID-EQ,14657,,,,,
DLF-EQ,14732,,,,,
151NSETEST-EQ,14782,,,,,
ADSL-EQ,14813,,,,,
111NSETEST-EQ,14774,,,,,
161NSETEST-EQ,14784,,,,,
ALPA-EQ,14848,,,,,
CCCL-EQ,14992,,,,,
PSUBANK-EQ,15061,,,,,
CERA-EQ,15039,,,,,
MOGSEC-EQ,1507,,,,,
INDIACEM-EQ,1515,,,,,
JYOTHYLAB-EQ,15146,,,,,
DVL-EQ,15214,,,,,
ECLERX-EQ,15179,,,,,
MADHAV-EQ,15151,,,,,
SEPC-EQ,15308,,,,,
GOLDETFADD-EQ,15356,,,,,
TITAGARH-EQ,15414,,,,,
RKEC-EQ,1547,,,,,
BHARATWIRE-EQ,16123,,,,,
GMMPFAUDLR-EQ,1570,,,,,
INFIBEAM-EQ,16249,,,,,
VAISHALI-EQ,16589,,,,,
GHCLTEXTIL-EQ,16696,,,,,
MKPL-EQ,16736,,,,,
RANEENGINE-EQ,16751,,,,,
MIDCAPIETF-EQ,17152,,,,,
JAYSREETEA-EQ,1720,,,,,
PSUBANKADD-EQ,17616,,,,,
POKARNA-EQ,17651,,,,,
DEN-EQ,17722,,,,,
REFEX-EQ,17764,,,,,
GODREJPROP-EQ,17875,,,,,
GILLANDERS-EQ,17839,,,,,
HINDCOPPER-EQ,17939,,,,,
KCP-EQ,1841,,,,,
BIGBLOC-EQ,18431,,,,,
NUVAMA-EQ,18721,,,,,
ENDURANCE-EQ,18822,,,,,
SJVN-EQ,18883,,,,,
KINGFA-EQ,18944,,,,,
PODDARMENT-EQ,19036,,,,,
JSWINFRA-EQ,19020,,,,,
ITBEES-EQ,19084,,,,,
AARTISURF-EQ,19233,,,,,
TI-EQ,19196,,,,,
ARVIND-EQ,193,,,,,
ROSSARI-EQ,19410,,,,,
PLAZACABLE-EQ,19458,,,,,
STEELCITY-EQ,10406,,,,,
AURUM-EQ,10310,,,,,
FINCABLES-EQ,1038,,,,,
DYCL-EQ,10417,,,,,
SATIN-EQ,10453,,,,,
NAVKARCORP-EQ,10557,,,,,
MNC-EQ,10676,,,,,
HDFCNEXT50-EQ,10619,,,,,
PNB-EQ,10666,,,,,
INFRAIETF-EQ,10723,,,,,
TIMESGTY-EQ,10717,,,,,
AXISILVER-EQ,11193,,,,,
INDIGO-EQ,11195,,,,,
HARSHA-EQ,11162,,,,,
HDFCVALUE-EQ,11260,,,,,
JAIBALAJI-EQ,11256,,,,,
UPL-EQ,11287,,,,,
APOLLO-EQ,1134,,,,,
SALZERELEC-EQ,11399,,,,,
HDFCNIFTY-EQ,11591,,,,,
SALSTEEL-EQ,11634,,,,,
ACEINTEG-EQ,11779,,,,,
NH-EQ,11840,,,,,
SAKSOFT-EQ,11794,,,,,
GOYALALUM-EQ,11787,,,,,
VHL-EQ,11892,,,,,
ICIL-EQ,11987,,,,,
KANSAINER-EQ,1196,,,,,
GOLDIAM-EQ,11971,,,,,
RENUKA-EQ,12026,,,,,
HDFCPVTBAN-EQ,12108,,,,,
DOLATALGO-EQ,12124,,,,,
RUSTOMJEE-EQ,12219,,,,,
NITINSPIN-EQ,13175,,,,,
MARINE-EQ,1328,,,,,
SDBL-EQ,1338,,,,,
GEECEE-EQ,13658,,,,,
MADHUCON-EQ,13671,,,,,
HCC-EQ,1375,,,,,
MANOMAY-EQ,13753,,,,,
RUCHIRA-EQ,13821,,,,,
PLASTIBLEN-EQ,13920,,,,,
LUMAXTECH-EQ,14014,,,,,
NETWORK18-EQ,14111,,,,,
PITTIENG-EQ,14134,,,,,
AGI-EQ,1412,,,,,
GLOBAL-EQ,1415,,,,,
TIMKEN-EQ,14198,,,,,
NSLNISP-EQ,14180,,,,,
ORIENTBELL-EQ,14278,,,,,
REDINGTON-EQ,14255,,,,,
TTL-EQ,14314,,,,,
SEQUENT-EQ,14296,,,,,
PFC-EQ,14299,,,,,
SANOFI-EQ,1442,,,,,
LAOPALA-EQ,14423,,,,,
HLVLTD-EQ,1448,,,,,
ICRA-EQ,14523,,,,,
ACCURACY-EQ,1465,,,,,
CHEMBOND-EQ,14618,,,,,
AKZOINDIA-EQ,1467,,,,,
091NSETEST-EQ,14769,,,,,
101NSETEST-EQ,14772,,,,,
141NSETEST-EQ,14781,,,,,
IFCI-EQ,1491,,,,,
ASIANTILES-EQ,14889,,,,,
MAGNUM-EQ,14957,,,,,
CIEINDIA-EQ,14937,,,,,
PSUBNKBEES-EQ,15032,,,,,
MANGCHEFER-EQ,15007,,,,,
BVCL-EQ,15073,,,,,
KOLTEPATIL-EQ,15124,,,,,
KAUSHALYA-EQ,15136,,,,,
VIRINCHI-EQ,15295,,,,,
CORDSCABLE-EQ,15271,,,,,
NAHARCAP-EQ,15360,,,,,
DPSCLTD-EQ,15419,,,,,
EIHAHOTELS-EQ,15399,,,,,
EBBETF0430-EQ,16253,,,,,
PRINCEPIPE-EQ,16045,,,,,
IONEXCHANG-EQ,1630,,,,,
RBL-EQ,16745,,,,,
SILVRETF-EQ,16777,,,,,
LOTUSEYE-EQ,16807,,,,,
IVP-EQ,1681,,,,,
QNIFTY-EQ,16819,,,,,
SETFGOLD-EQ,17272,,,,,
ASPINWALL-EQ,17270,,,,,
MHRIL-EQ,17333,,,,,
AJMERA-EQ,17307,,,,,
BANKETF-EQ,17419,,,,,
UNITEDTEA-EQ,17999,,,,,
DBREALTY-EQ,18124,,,,,
KPIL-EQ,1814,,,,,
KECL-EQ,18220,,,,,
PYRAMID-EQ,18250,,,,,
KARURVYSYA-EQ,1838,,,,,
SANDUMA-EQ,18359,,,,,
POWERINDIA-EQ,18457,,,,,
DIACABS-EQ,18543,,,,,
IDFNIFTYET-EQ,18783,,,,,
NIRAJISPAT-EQ,18840,,,,,
SILLYMONKS-EQ,19097,,,,,
BALKRISHNA-EQ,10181,,,,,
PPL-EQ,10297,,,,,
POWERMECH-EQ,10473,,,,,
OLECTRA-EQ,10637,,,,,
SILVERADD-EQ,10761,,,,,
GENESYS-EQ,10905,,,,,
INDORAMA-EQ,10993,,,,,
CREATIVE-EQ,11155,,,,,
SATIA-EQ,11045,,,,,
ZOTA-EQ,11394,,,,,
UNIENTER-EQ,11293,,,,,
LICNETFSEN-EQ,11441,,,,,
TCS-EQ,11536,,,,,
SPANDANA-EQ,11435,,,,,
DCI-EQ,11566,,,,,
ASTRAMICRO-EQ,11618,,,,,
PATELENG-EQ,11699,,,,,
MANGALAM-EQ,11817,,,,,
HPIL-EQ,11796,,,,,
ESG-EQ,1200,,,,,
BIKAJI-EQ,11966,,,,,
SASKEN-EQ,11983,,,,,
HDFCNIFIT-EQ,12101,,,,,
GREAVESCOT-EQ,1235,,,,,
SWSOLAR-EQ,12489,,,,,
ROHLTD-EQ,13182,,,,,
IEL-EQ,13303,,,,,
HCL-INSYS-EQ,1327,,,,,
MALUPAPER-EQ,13352,,,,,
BHAGERIA-EQ,13400,,,,,
KKCL-EQ,13381,,,,,
KELLTONTEC-EQ,13430,,,,,
GRINDWELL-EQ,13560,,,,,
ANANTRAJ-EQ,13620,,,,,
ELECON-EQ,13643,,,,,
INFOMEDIA-EQ,13693,,,,,
INSPIRISYS-EQ,13730,,,,,
HIRECT-EQ,13890,,,,,
GESHIP-EQ,13776,,,,,
NFL-EQ,13925,,,,,
ASMS-EQ,14064,,,,,
HDFCSML250-EQ,14233,,,,,
GANESHHOUC-EQ,14339,,,,,
POCL-EQ,14385,,,,,
GOACARBON-EQ,14687,,,,,
NAVINFLUOR-EQ,14672,,,,,
KSCL-EQ,14972,,,,,
CENTUM-EQ,14982,,,,,
INDHOTEL-EQ,1512,,,,,
SVLL-EQ,15121,,,,,
JKIL-EQ,15266,,,,,
KNRCON-EQ,15283,,,,,
INDIANHUME-EQ,1530,,,,,
IRB-EQ,15313,,,,,
MGEL-EQ,1593,,,,,
INGERRAND-EQ,1597,,,,,
PAVNAIND-EQ,16192,,,,,
MMP-EQ,16395,,,,,
SUNDROP-EQ,1663,,,,,
LPDC-EQ,16863,,,,,
JAYBARMARU-EQ,1708,,,,,
TPHQ-EQ,16996,,,,,
SUMICHEM-EQ,17105,,,,,
IDEAFORGE-EQ,17140,,,,,
PARAGMILK-EQ,17130,,,,,
NEXT50-EQ,17181,,,,,
SALONA-EQ,17351,,,,,
SENCO-EQ,17271,,,,,
PREMEXPLN-EQ,17397,,,,,
LLOYDSENGG-EQ,17801,,,,,
DBCORP-EQ,17881,,,,,
REDTAPE-EQ,17859,,,,,
DLINKINDIA-EQ,17851,,,,,
BEARDSELL-EQ,17933,,,,,
SBICARD-EQ,17971,,,,,
CONCORDBIO-EQ,18060,,,,,
MINDTECK-EQ,18049,,,,,
NIFTY1-EQ,18102,,,,,
YASHO-EQ,18131,,,,,
TVSSCS-EQ,18151,,,,,
MANINFRA-EQ,18226,,,,,
KAMATHOTEL-EQ,1826,,,,,
ISFT-EQ,18479,,,,,
GNA-EQ,18571,,,,,
KALAMANDIR-EQ,18755,,,,,
LAURUSLABS-EQ,19234,,,,,
MONIFTY500-EQ,19237,,,,,
KREBSBIO-EQ,1937,,,,,
CAPTRUST-EQ,19447,,,,,
HDFCGOLD-EQ,19543,,,,,
BSE-EQ,19585,,,,,
WELINV-EQ,19800,,,,,
CELLO-EQ,19795,,,,,
AYMSYNTEX-EQ,10285,,,,,
RADHIKAJWE-EQ,10343,,,,,
AXISBNKETF-EQ,1044,,,,,
SHARDAMOTR-EQ,10530,,,,,
BHARTIARTL-EQ,10604,,,,,
MOVALUE-EQ,10825,,,,,
HDFCQUAL-EQ,11255,,,,,
SUMIT-EQ,11140,,,,,
DHANBANK-EQ,11359,,,,,
DATAMATICS-EQ,11423,,,,,
POONAWALLA-EQ,11403,,,,,
PILANIINVS-EQ,11445,,,,,
KRITINUT-EQ,11432,,,,,
HDFCMOMENT-EQ,11538,,,,,
GULFPETRO-EQ,11581,,,,,
HDFCSENSEX-EQ,11593,,,,,
DWARKESH-EQ,11667,,,,,
GOKEX-EQ,11778,,,,,
SUKHJITS-EQ,11804,,,,,
EVEREADY-EQ,11782,,,,,
IIFL-EQ,11809,,,,,
GEOJITFSL-EQ,11896,,,,,
ACI-EQ,12024,,,,,
OSIAHYPER-EQ,12635,,,,,
GFLLIMITED-EQ,1289,,,,,
SARVESHWAR-EQ,12913,,,,,
QUICKHEAL-EQ,13116,,,,,
360ONE-EQ,13061,,,,,
EKC-EQ,13091,,,,,
CENTURYPLY-EQ,13305,,,,,
JKCEMENT-EQ,13270,,,,,
VAKRANGEE-EQ,13342,,,,,
HEG-EQ,1336,,,,,
UTTAMSUGAR-EQ,13376,,,,,
ELIN-EQ,13423,,,,,
KAMDHENU-EQ,13457,,,,,
RATNAMANI-EQ,13451,,,,,
MUNJALAU-EQ,13511,,,,,
RADIANTCMS-EQ,13580,,,,,
BINANIIND-EQ,13625,,,,,
SKYGOLD-EQ,13631,,,,,
VSSL-EQ,27067,,,,,
PRAJIND-EQ,2705,,,,,
SAGILITY-EQ,27052,,,,,
LIQUIDPLUS-EQ,27075,,,,,
NTPCGREEN-EQ,27176,,,,,
INNOVANA-EQ,27754,,,,,
JUBLINGREA-EQ,2783,,,,,
RAJSREESUG-EQ,2809,,,,,
IKS-EQ,28125,,,,,
ANURAS-EQ,2829,,,,,
SENORES-EQ,28888,,,,,
DUCON-EQ,28952,,,,,
SGLTL-EQ,29075,,,,,
CARERATING-EQ,29113,,,,,
DDEVPLSTIK-EQ,29098,,,,,
MCLOUD-EQ,29482,,,,,
JUBLCPL-EQ,29590,,,,,
SAIL-EQ,2963,,,,,
MSCIINDIA-EQ,29758,,,,,
GUJTHEM-EQ,29731,,,,,
GROWWN200-EQ,29872,,,,,
JUSTDIAL-EQ,29962,,,,,
SELECTIPO-EQ,30109,,,,,
CASHIETF-EQ,30139,,,,,
SBIBPB-EQ,30290,,,,,
NIF100IETF-EQ,30392,,,,,
SHREDIGCEM-EQ,3099,,,,,
ORBTEXP-EQ,31475,,,,,
VALIANTORG-EQ,330,,,,,
LODHA-EQ,3220,,,,,
DEEPINDS-EQ,3292,,,,,
SUDARSCHEM-EQ,3327,,,,,
